lf:0.01, min:0.071, max:0.217, mpsnr:11.917, mssim:0.488, msam:0.121
lf:0.01, min:None, max:0.217, mpsnr:8.950, mssim:0.539, msam:0.139
lf:0.04, min:0.071, max:0.217, mpsnr:10.900, mssim:0.482, msam:0.121
lf:0.04, min:None, max:0.217, mpsnr:9.684, mssim:0.542, msam:0.139
lf:0.07, min:0.071, max:0.217, mpsnr:9.873, mssim:0.475, msam:0.121
lf:0.07, min:None, max:0.217, mpsnr:10.337, mssim:0.545, msam:0.139
lf:0.10, min:0.071, max:0.217, mpsnr:8.929, mssim:0.467, msam:0.121
lf:0.10, min:None, max:0.217, mpsnr:10.749, mssim:0.546, msam:0.139
lf:0.50, min:0.071, max:0.217, mpsnr:4.425, mssim:0.352, msam:0.121
lf:0.50, min:None, max:0.217, mpsnr:5.006, mssim:0.450, msam:0.139
lf:0.90, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.121
lf:0.90, min:None, max:0.217, mpsnr:2.727, mssim:0.273, msam:0.139
lf:1.30, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.121
lf:1.30, min:None, max:0.217, mpsnr:1.784, mssim:0.145, msam:0.139
lf:1.70, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.121
lf:1.70, min:None, max:0.217, mpsnr:1.347, mssim:0.074, msam:0.139
lf:2.10, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.121
lf:2.10, min:None, max:0.217, mpsnr:1.135, mssim:0.038, msam:0.139
lf:2.50, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.121
lf:2.50, min:None, max:0.217, mpsnr:1.030, mssim:0.019, msam:0.139
lf:2.90, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.121
lf:2.90, min:None, max:0.217, mpsnr:0.978, mssim:0.010, msam:0.139
lf:4.00, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.121
lf:4.00, min:None, max:0.217, mpsnr:0.932, mssim:0.002, msam:0.139
lf:6.00, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.121
lf:6.00, min:None, max:0.217, mpsnr:0.925, mssim:0.000, msam:0.139
lf:8.00, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.121
lf:8.00, min:None, max:0.217, mpsnr:0.924, mssim:0.000, msam:0.139
lf:10.00, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.121
lf:10.00, min:None, max:0.217, mpsnr:0.924, mssim:0.000, msam:0.139
lf:0.11, min:0.071, max:0.217, mpsnr:8.637, mssim:0.464, msam:0.121
lf:0.11, min:None, max:0.217, mpsnr:10.802, mssim:0.546, msam:0.139
lf:0.21, min:0.071, max:0.217, mpsnr:6.446, mssim:0.409, msam:0.121
lf:0.21, min:None, max:0.217, mpsnr:9.357, mssim:0.538, msam:0.139
lf:0.31, min:0.071, max:0.217, mpsnr:5.273, mssim:0.384, msam:0.121
lf:0.31, min:None, max:0.217, mpsnr:7.377, mssim:0.518, msam:0.139
lf:0.41, min:0.071, max:0.217, mpsnr:4.490, mssim:0.355, msam:0.121
lf:0.41, min:None, max:0.217, mpsnr:5.949, mssim:0.486, msam:0.139
lf:0.51, min:0.071, max:0.217, mpsnr:4.423, mssim:0.352, msam:0.121
lf:0.51, min:None, max:0.217, mpsnr:4.916, mssim:0.446, msam:0.139
lf:0.61, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.121
lf:0.61, min:None, max:0.217, mpsnr:4.141, mssim:0.401, msam:0.139
