lf:0.1, min:0.071, max:0.217, mpsnr:6.012, mssim:0.409, msam:0.109
lf:0.1, min:None, max:0.217, mpsnr:-4.031, mssim:0.244, msam:0.148
lf:0.2, min:0.071, max:0.217, mpsnr:6.078, mssim:0.417, msam:0.109
lf:0.2, min:None, max:0.217, mpsnr:-3.879, mssim:0.249, msam:0.148
lf:0.3, min:0.071, max:0.217, mpsnr:6.398, mssim:0.443, msam:0.109
lf:0.3, min:None, max:0.217, mpsnr:-3.726, mssim:0.255, msam:0.148
lf:0.4, min:0.071, max:0.217, mpsnr:7.264, mssim:0.503, msam:0.109
lf:0.4, min:None, max:0.217, mpsnr:-3.572, mssim:0.260, msam:0.148
lf:0.5, min:0.071, max:0.217, mpsnr:9.056, mssim:0.551, msam:0.109
lf:0.5, min:None, max:0.217, mpsnr:-3.418, mssim:0.265, msam:0.148
lf:0.6, min:0.071, max:0.217, mpsnr:10.868, mssim:0.555, msam:0.109
lf:0.6, min:None, max:0.217, mpsnr:-3.264, mssim:0.270, msam:0.148
lf:0.7, min:0.071, max:0.217, mpsnr:10.880, mssim:0.553, msam:0.109
lf:0.7, min:None, max:0.217, mpsnr:-3.109, mssim:0.275, msam:0.148
lf:0.8, min:0.071, max:0.217, mpsnr:9.521, mssim:0.543, msam:0.109
lf:0.8, min:None, max:0.217, mpsnr:-2.954, mssim:0.280, msam:0.148
lf:0.9, min:0.071, max:0.217, mpsnr:8.289, mssim:0.528, msam:0.109
lf:0.9, min:None, max:0.217, mpsnr:-2.798, mssim:0.285, msam:0.148
lf:1.0, min:0.071, max:0.217, mpsnr:7.376, mssim:0.501, msam:0.109
lf:1.0, min:None, max:0.217, mpsnr:-2.642, mssim:0.290, msam:0.148
lf:1.1, min:0.071, max:0.217, mpsnr:6.745, mssim:0.461, msam:0.109
lf:1.1, min:None, max:0.217, mpsnr:-2.486, mssim:0.295, msam:0.148
lf:1.2, min:0.071, max:0.217, mpsnr:6.364, mssim:0.422, msam:0.109
lf:1.2, min:None, max:0.217, mpsnr:-2.329, mssim:0.300, msam:0.148
lf:1.3, min:0.071, max:0.217, mpsnr:6.187, mssim:0.399, msam:0.109
