lf:0.1, min:0.071, max:0.217, mpsnr:9.431, mssim:0.463, msam:0.120
lf:0.1, min:None, max:0.217, mpsnr:8.965, mssim:0.512, msam:0.142
lf:0.6, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.120
lf:0.6, min:None, max:0.217, mpsnr:3.664, mssim:0.367, msam:0.142
lf:1.1, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.120
lf:1.1, min:None, max:0.217, mpsnr:2.049, mssim:0.185, msam:0.142
lf:1.6, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.120
lf:1.6, min:None, max:0.217, mpsnr:1.412, mssim:0.085, msam:0.142
lf:2.1, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.120
lf:2.1, min:None, max:0.217, mpsnr:1.140, mssim:0.038, msam:0.142
lf:2.6, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.120
lf:2.6, min:None, max:0.217, mpsnr:1.021, mssim:0.017, msam:0.142
lf:3.1, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.120
lf:3.1, min:None, max:0.217, mpsnr:0.968, mssim:0.008, msam:0.142
lf:3.6, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.120
lf:3.6, min:None, max:0.217, mpsnr:0.944, mssim:0.004, msam:0.142
lf:4.1, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.120
lf:4.1, min:None, max:0.217, mpsnr:0.933, mssim:0.002, msam:0.142
lf:4.6, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.120
lf:4.6, min:None, max:0.217, mpsnr:0.928, mssim:0.001, msam:0.142
lf:5.0, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.120
lf:5.0, min:None, max:0.217, mpsnr:0.926, mssim:0.000, msam:0.142
lf:7.0, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.120
lf:7.0, min:None, max:0.217, mpsnr:0.924, mssim:0.000, msam:0.142
lf:9.0, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.120
lf:9.0, min:None, max:0.217, mpsnr:0.924, mssim:0.000, msam:0.142
lf:11.0, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.120
lf:11.0, min:None, max:0.217, mpsnr:0.924, mssim:0.000, msam:0.142
lf:13.0, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.120
lf:13.0, min:None, max:0.217, mpsnr:0.924, mssim:0.000, msam:0.142
lf:15.0, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.120
lf:15.0, min:None, max:0.217, mpsnr:0.924, mssim:0.000, msam:0.142
lf:17.0, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.120
lf:17.0, min:None, max:0.217, mpsnr:0.924, mssim:0.000, msam:0.142
lf:19.0, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.120
lf:19.0, min:None, max:0.217, mpsnr:0.924, mssim:0.000, msam:0.142
lf:21.0, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.121
lf:21.0, min:None, max:0.217, mpsnr:0.924, mssim:0.000, msam:0.142
lf:23.0, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.064
lf:23.0, min:None, max:0.217, mpsnr:0.924, mssim:0.000, msam:0.142
lf:25.0, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.057
lf:25.0, min:None, max:0.217, mpsnr:0.924, mssim:0.000, msam:0.142
lf:27.0, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.051
lf:27.0, min:None, max:0.217, mpsnr:0.924, mssim:0.000, msam:0.142
lf:29.0, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.004
lf:29.0, min:None, max:0.217, mpsnr:0.924, mssim:0.000, msam:0.158
lf:31.0, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.000
lf:31.0, min:None, max:0.217, mpsnr:0.924, mssim:0.000, msam:0.061
lf:0.01, min:0.071, max:0.217, mpsnr:12.475, mssim:0.473, msam:0.120
lf:0.01, min:None, max:0.217, mpsnr:10.601, mssim:0.511, msam:0.142
lf:0.02, min:0.071, max:0.217, mpsnr:12.145, mssim:0.473, msam:0.120
lf:0.02, min:None, max:0.217, mpsnr:10.473, mssim:0.511, msam:0.142
lf:0.03, min:0.071, max:0.217, mpsnr:11.801, mssim:0.472, msam:0.120
lf:0.03, min:None, max:0.217, mpsnr:10.320, mssim:0.512, msam:0.142
lf:0.04, min:0.071, max:0.217, mpsnr:11.450, mssim:0.471, msam:0.120
lf:0.04, min:None, max:0.217, mpsnr:10.148, mssim:0.512, msam:0.142
lf:0.05, min:0.071, max:0.217, mpsnr:11.099, mssim:0.470, msam:0.120
lf:0.05, min:None, max:0.217, mpsnr:9.962, mssim:0.513, msam:0.142
lf:0.06, min:0.071, max:0.217, mpsnr:10.750, mssim:0.469, msam:0.120
lf:0.06, min:None, max:0.217, mpsnr:9.767, mssim:0.513, msam:0.142
lf:0.07, min:0.071, max:0.217, mpsnr:10.408, mssim:0.468, msam:0.120
lf:0.07, min:None, max:0.217, mpsnr:9.568, mssim:0.513, msam:0.142
lf:0.08, min:0.071, max:0.217, mpsnr:10.073, mssim:0.466, msam:0.120
lf:0.08, min:None, max:0.217, mpsnr:9.366, mssim:0.512, msam:0.142
lf:0.09, min:0.071, max:0.217, mpsnr:9.747, mssim:0.465, msam:0.120
lf:0.09, min:None, max:0.217, mpsnr:9.164, mssim:0.512, msam:0.142
lf:0.10, min:0.071, max:0.217, mpsnr:9.431, mssim:0.463, msam:0.120
lf:0.10, min:None, max:0.217, mpsnr:8.965, mssim:0.512, msam:0.142
