lf:0.01, min:0.071, max:0.217, mpsnr:12.612, mssim:0.485, msam:0.125
lf:0.01, min:None, max:0.217, mpsnr:10.563, mssim:0.486, msam:0.151
lf:0.02, min:0.071, max:0.217, mpsnr:12.271, mssim:0.484, msam:0.125
lf:0.02, min:None, max:0.217, mpsnr:10.488, mssim:0.487, msam:0.151
lf:0.03, min:0.071, max:0.217, mpsnr:11.916, mssim:0.484, msam:0.125
lf:0.03, min:None, max:0.217, mpsnr:10.381, mssim:0.489, msam:0.151
lf:0.04, min:0.071, max:0.217, mpsnr:11.556, mssim:0.483, msam:0.125
lf:0.04, min:None, max:0.217, mpsnr:10.247, mssim:0.489, msam:0.151
lf:0.05, min:0.071, max:0.217, mpsnr:11.194, mssim:0.481, msam:0.125
lf:0.05, min:None, max:0.217, mpsnr:10.093, mssim:0.490, msam:0.151
lf:0.06, min:0.071, max:0.217, mpsnr:10.837, mssim:0.480, msam:0.125
lf:0.06, min:None, max:0.217, mpsnr:9.922, mssim:0.491, msam:0.151
lf:0.07, min:0.071, max:0.217, mpsnr:10.486, mssim:0.478, msam:0.125
lf:0.07, min:None, max:0.217, mpsnr:9.739, mssim:0.491, msam:0.151
lf:0.08, min:0.071, max:0.217, mpsnr:10.144, mssim:0.476, msam:0.125
lf:0.08, min:None, max:0.217, mpsnr:9.550, mssim:0.492, msam:0.151
lf:0.10, min:0.071, max:0.217, mpsnr:9.491, mssim:0.472, msam:0.125
lf:0.10, min:None, max:0.217, mpsnr:9.162, mssim:0.492, msam:0.151
lf:0.30, min:0.071, max:0.217, mpsnr:5.197, mssim:0.384, msam:0.125
lf:0.30, min:None, max:0.217, mpsnr:6.064, mssim:0.468, msam:0.151
lf:0.50, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.125
lf:0.50, min:None, max:0.217, mpsnr:4.318, mssim:0.405, msam:0.151
lf:0.70, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.125
lf:0.70, min:None, max:0.217, mpsnr:3.246, mssim:0.327, msam:0.151
lf:0.90, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.125
lf:0.90, min:None, max:0.217, mpsnr:2.545, mssim:0.251, msam:0.151
lf:1.10, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.125
lf:1.10, min:None, max:0.217, mpsnr:2.070, mssim:0.188, msam:0.151
lf:1.30, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.125
lf:1.30, min:None, max:0.217, mpsnr:1.740, mssim:0.138, msam:0.151
lf:1.50, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.125
lf:1.50, min:None, max:0.217, mpsnr:1.509, mssim:0.101, msam:0.151
lf:1.70, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.125
lf:1.70, min:None, max:0.217, mpsnr:1.345, mssim:0.074, msam:0.151
lf:1.90, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.125
lf:1.90, min:None, max:0.217, mpsnr:1.228, mssim:0.053, msam:0.151
lf:2.10, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.125
lf:2.10, min:None, max:0.217, mpsnr:1.143, mssim:0.039, msam:0.151
lf:2.30, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.125
lf:2.30, min:None, max:0.217, mpsnr:1.083, mssim:0.028, msam:0.151
lf:2.50, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.125
lf:2.50, min:None, max:0.217, mpsnr:1.039, mssim:0.020, msam:0.151
lf:2.70, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.125
lf:2.70, min:None, max:0.217, mpsnr:1.008, mssim:0.015, msam:0.151
lf:2.90, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.125
lf:2.90, min:None, max:0.217, mpsnr:0.985, mssim:0.011, msam:0.151
lf:4.00, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.125
lf:4.00, min:None, max:0.217, mpsnr:0.935, mssim:0.002, msam:0.151
lf:7.00, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.125
lf:7.00, min:None, max:0.217, mpsnr:0.924, mssim:0.000, msam:0.151
lf:10.00, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.125
lf:10.00, min:None, max:0.217, mpsnr:0.924, mssim:0.000, msam:0.151
lf:13.00, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.125
lf:13.00, min:None, max:0.217, mpsnr:0.924, mssim:0.000, msam:0.151
lf:16.00, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.125
lf:16.00, min:None, max:0.217, mpsnr:0.924, mssim:0.000, msam:0.151
lf:19.00, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.125
lf:19.00, min:None, max:0.217, mpsnr:0.924, mssim:0.000, msam:0.151
lf:22.00, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.128
lf:22.00, min:None, max:0.217, mpsnr:0.924, mssim:0.000, msam:0.151
lf:25.00, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.061
lf:25.00, min:None, max:0.217, mpsnr:0.924, mssim:0.000, msam:0.151
lf:28.00, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.101
lf:28.00, min:None, max:0.217, mpsnr:0.924, mssim:0.000, msam:0.151
lf:31.00, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.000
lf:31.00, min:None, max:0.217, mpsnr:0.924, mssim:0.000, msam:0.074
