lf:0.01, min:0.071, max:0.217, mpsnr:6.011, mssim:0.396, msam:0.139
lf:0.01, min:None, max:0.217, mpsnr:-5.361, mssim:0.170, msam:0.167
lf:0.04, min:0.071, max:0.217, mpsnr:6.046, mssim:0.398, msam:0.139
lf:0.04, min:None, max:0.217, mpsnr:-5.298, mssim:0.171, msam:0.167
lf:0.07, min:0.071, max:0.217, mpsnr:6.107, mssim:0.404, msam:0.139
lf:0.07, min:None, max:0.217, mpsnr:-5.235, mssim:0.173, msam:0.167
lf:0.10, min:0.071, max:0.217, mpsnr:6.206, mssim:0.413, msam:0.139
lf:0.10, min:None, max:0.217, mpsnr:-5.171, mssim:0.174, msam:0.167
lf:0.50, min:0.071, max:0.217, mpsnr:10.570, mssim:0.585, msam:0.139
lf:0.50, min:None, max:0.217, mpsnr:-4.316, mssim:0.194, msam:0.167
lf:0.90, min:0.071, max:0.217, mpsnr:8.569, mssim:0.557, msam:0.139
lf:0.90, min:None, max:0.217, mpsnr:-3.444, mssim:0.214, msam:0.167
lf:1.30, min:0.071, max:0.217, mpsnr:6.447, mssim:0.429, msam:0.139
lf:1.30, min:None, max:0.217, mpsnr:-2.560, mssim:0.235, msam:0.167
lf:1.70, min:0.071, max:0.217, mpsnr:6.038, mssim:0.389, msam:0.139
lf:1.70, min:None, max:0.217, mpsnr:-1.673, mssim:0.255, msam:0.167
lf:2.10, min:0.071, max:0.217, mpsnr:5.909, mssim:0.387, msam:0.139
lf:2.10, min:None, max:0.217, mpsnr:-0.798, mssim:0.274, msam:0.167
lf:2.50, min:0.071, max:0.217, mpsnr:6.982, mssim:0.449, msam:0.139
lf:2.50, min:None, max:0.217, mpsnr:0.039, mssim:0.293, msam:0.167
lf:2.90, min:0.071, max:0.217, mpsnr:9.482, mssim:0.454, msam:0.139
lf:2.90, min:None, max:0.217, mpsnr:0.800, mssim:0.311, msam:0.167
