lf:0.10, min:0.071, max:0.217, mpsnr:8.486, mssim:0.607, msam:0.080
lf:0.10, min:0.071, max:0.217, mpsnr:inf, mssim:0.652, msam:0.085
lf:0.10, min:None, max:0.217, mpsnr:-7.398, mssim:0.320, msam:0.116
lf:0.20, min:0.071, max:0.217, mpsnr:inf, mssim:0.656, msam:0.085
lf:0.20, min:None, max:0.217, mpsnr:-7.364, mssim:0.322, msam:0.116
lf:0.30, min:0.071, max:0.217, mpsnr:inf, mssim:0.667, msam:0.085
lf:0.30, min:None, max:0.217, mpsnr:-7.330, mssim:0.323, msam:0.116
lf:0.40, min:0.071, max:0.217, mpsnr:inf, mssim:0.688, msam:0.085
lf:0.40, min:None, max:0.217, mpsnr:-7.296, mssim:0.325, msam:0.116
lf:0.50, min:0.071, max:0.217, mpsnr:inf, mssim:0.715, msam:0.085
lf:0.50, min:None, max:0.217, mpsnr:-7.261, mssim:0.326, msam:0.116
lf:0.60, min:0.071, max:0.217, mpsnr:inf, mssim:0.745, msam:0.085
lf:0.60, min:None, max:0.217, mpsnr:-7.227, mssim:0.328, msam:0.116
lf:0.70, min:0.071, max:0.217, mpsnr:inf, mssim:0.776, msam:0.085
lf:0.70, min:None, max:0.217, mpsnr:-7.193, mssim:0.329, msam:0.116
lf:0.80, min:0.071, max:0.217, mpsnr:inf, mssim:0.806, msam:0.085
lf:0.80, min:None, max:0.217, mpsnr:-7.158, mssim:0.331, msam:0.116
lf:0.90, min:0.071, max:0.217, mpsnr:inf, mssim:0.834, msam:0.085
lf:0.90, min:None, max:0.217, mpsnr:-7.124, mssim:0.332, msam:0.116
lf:1.00, min:0.071, max:0.217, mpsnr:inf, mssim:0.856, msam:0.085
lf:1.00, min:None, max:0.217, mpsnr:-7.089, mssim:0.334, msam:0.116
lf:1.10, min:0.071, max:0.217, mpsnr:inf, mssim:0.870, msam:0.085
lf:1.10, min:None, max:0.217, mpsnr:-7.055, mssim:0.335, msam:0.116
