lf:0.20, min:None, max:1.741, mpsnr:9.514, mssim:0.149, msam:0.209
lf:0.50, min:None, max:1.741, mpsnr:9.776, mssim:0.155, msam:0.209
lf:0.90, min:None, max:1.741, mpsnr:10.759, mssim:0.182, msam:0.209
lf:1.30, min:None, max:1.741, mpsnr:11.749, mssim:0.211, msam:0.209
lf:1.70, min:None, max:1.741, mpsnr:12.954, mssim:0.250, msam:0.209
lf:2.30, min:None, max:1.741, mpsnr:14.793, mssim:0.318, msam:0.209
lf:2.80, min:None, max:1.741, mpsnr:16.280, mssim:0.380, msam:0.209
lf:3.00, min:None, max:1.741, mpsnr:16.852, mssim:0.405, msam:0.209
lf:3.50, min:None, max:1.741, mpsnr:18.196, mssim:0.472, msam:0.209
lf:4.00, min:None, max:1.741, mpsnr:19.359, mssim:0.539, msam:0.209
lf:5.00, min:None, max:1.741, mpsnr:20.909, mssim:0.664, msam:0.209
lf:8.00, min:None, max:1.741, mpsnr:20.769, mssim:0.771, msam:0.209
lf:12.00, min:None, max:1.741, mpsnr:19.517, mssim:0.389, msam:0.209
lf:4.80, min:None, max:1.741, mpsnr:20.692, mssim:0.641, msam:0.209
lf:5.20, min:None, max:1.741, mpsnr:21.081, mssim:0.686, msam:0.209
lf:5.50, min:None, max:1.741, mpsnr:21.260, mssim:0.716, msam:0.209
lf:6.00, min:None, max:1.741, mpsnr:21.377, mssim:0.757, msam:0.209
lf:7.50, min:None, max:1.741, mpsnr:20.985, mssim:0.790, msam:0.209
lf:7.80, min:None, max:1.741, mpsnr:20.856, mssim:0.780, msam:0.209
lf:6.20, min:None, max:1.741, mpsnr:21.374, mssim:0.769, msam:0.209
lf:6.40, min:None, max:1.741, mpsnr:21.349, mssim:0.779, msam:0.209
lf:6.60, min:None, max:1.741, mpsnr:21.307, mssim:0.787, msam:0.209
lf:6.80, min:None, max:1.741, mpsnr:21.250, mssim:0.792, msam:0.209
lf:7.00, min:None, max:1.741, mpsnr:21.183, mssim:0.795, msam:0.209
lf:7.20, min:None, max:1.741, mpsnr:21.107, mssim:0.795, msam:0.209
lf:7.40, min:None, max:1.741, mpsnr:21.027, mssim:0.792, msam:0.209
