lf:0.10, min:0.071, max:0.217, mpsnr:inf, mssim:0.651, msam:0.089
lf:0.10, min:None, max:0.217, mpsnr:-7.662, mssim:0.300, msam:0.122
lf:0.20, min:0.071, max:0.217, mpsnr:inf, mssim:0.653, msam:0.089
lf:0.20, min:None, max:0.217, mpsnr:-7.600, mssim:0.303, msam:0.122
lf:0.30, min:0.071, max:0.217, mpsnr:inf, mssim:0.659, msam:0.089
lf:0.30, min:None, max:0.217, mpsnr:-7.537, mssim:0.306, msam:0.122
lf:0.40, min:0.071, max:0.217, mpsnr:inf, mssim:0.680, msam:0.089
lf:0.40, min:None, max:0.217, mpsnr:-7.474, mssim:0.309, msam:0.122
lf:0.50, min:0.071, max:0.217, mpsnr:inf, mssim:0.717, msam:0.089
lf:0.50, min:None, max:0.217, mpsnr:-7.411, mssim:0.311, msam:0.122
lf:0.60, min:0.071, max:0.217, mpsnr:inf, mssim:0.770, msam:0.089
lf:0.60, min:None, max:0.217, mpsnr:-7.348, mssim:0.314, msam:0.122
lf:0.70, min:0.071, max:0.217, mpsnr:inf, mssim:0.825, msam:0.089
lf:0.70, min:None, max:0.217, mpsnr:-7.284, mssim:0.317, msam:0.122
lf:0.80, min:0.071, max:0.217, mpsnr:inf, mssim:0.856, msam:0.089
lf:0.80, min:None, max:0.217, mpsnr:-7.221, mssim:0.319, msam:0.122
lf:0.90, min:0.071, max:0.217, mpsnr:inf, mssim:0.867, msam:0.089
lf:0.90, min:None, max:0.217, mpsnr:-7.157, mssim:0.322, msam:0.122
lf:1.00, min:0.071, max:0.217, mpsnr:inf, mssim:0.873, msam:0.089
lf:1.00, min:None, max:0.217, mpsnr:-7.093, mssim:0.325, msam:0.122
lf:1.10, min:0.071, max:0.217, mpsnr:inf, mssim:0.876, msam:0.089
lf:1.10, min:None, max:0.217, mpsnr:-7.029, mssim:0.327, msam:0.122
