lf:0.10, min:0.071, max:1.741, mpsnr:23.138, mssim:0.819, msam:0.175
lf:0.10, min:None, max:1.741, mpsnr:13.904, mssim:0.484, msam:0.139
lf:0.20, min:0.071, max:1.741, mpsnr:24.631, mssim:0.841, msam:0.175
lf:0.20, min:None, max:1.741, mpsnr:16.785, mssim:0.584, msam:0.139
lf:0.30, min:0.071, max:1.741, mpsnr:27.447, mssim:0.834, msam:0.175
lf:0.30, min:None, max:1.741, mpsnr:19.580, mssim:0.687, msam:0.139
lf:0.40, min:0.071, max:1.741, mpsnr:26.689, mssim:0.819, msam:0.175
lf:0.40, min:None, max:1.741, mpsnr:22.005, mssim:0.782, msam:0.139
lf:0.50, min:0.071, max:1.741, mpsnr:24.137, mssim:0.792, msam:0.175
lf:0.50, min:None, max:1.741, mpsnr:24.220, mssim:0.855, msam:0.139
lf:0.60, min:0.071, max:1.741, mpsnr:22.626, mssim:0.743, msam:0.175
lf:0.60, min:None, max:1.741, mpsnr:26.949, mssim:0.893, msam:0.139
lf:0.70, min:0.071, max:1.741, mpsnr:22.176, mssim:0.724, msam:0.175
lf:0.70, min:None, max:1.741, mpsnr:28.422, mssim:0.886, msam:0.139
lf:0.80, min:0.071, max:1.741, mpsnr:22.134, mssim:0.725, msam:0.175
lf:0.80, min:None, max:1.741, mpsnr:25.759, mssim:0.838, msam:0.139
lf:0.90, min:0.071, max:1.741, mpsnr:22.128, mssim:0.725, msam:0.175
lf:0.90, min:None, max:1.741, mpsnr:23.778, mssim:0.758, msam:0.139
lf:1.00, min:0.071, max:1.741, mpsnr:22.128, mssim:0.725, msam:0.175
lf:1.00, min:None, max:1.741, mpsnr:22.502, mssim:0.661, msam:0.139
lf:1.10, min:0.071, max:1.741, mpsnr:22.128, mssim:0.725, msam:0.175
lf:1.10, min:None, max:1.741, mpsnr:21.627, mssim:0.560, msam:0.139
