lf:0.01, min:0.071, max:0.217, mpsnr:6.048, mssim:0.409, msam:0.132
lf:0.01, min:None, max:0.217, mpsnr:-5.578, mssim:0.264, msam:0.133
lf:0.04, min:0.071, max:0.217, mpsnr:6.083, mssim:0.411, msam:0.132
lf:0.04, min:None, max:0.217, mpsnr:-5.518, mssim:0.265, msam:0.133
lf:0.07, min:0.071, max:0.217, mpsnr:6.132, mssim:0.415, msam:0.132
lf:0.07, min:None, max:0.217, mpsnr:-5.458, mssim:0.266, msam:0.133
lf:0.10, min:0.071, max:0.217, mpsnr:6.189, mssim:0.419, msam:0.132
lf:0.10, min:None, max:0.217, mpsnr:-5.398, mssim:0.267, msam:0.133
lf:0.50, min:0.071, max:0.217, mpsnr:10.189, mssim:0.541, msam:0.132
lf:0.50, min:None, max:0.217, mpsnr:-4.598, mssim:0.281, msam:0.133
lf:0.90, min:0.071, max:0.217, mpsnr:8.277, mssim:0.505, msam:0.132
lf:0.90, min:None, max:0.217, mpsnr:-3.801, mssim:0.295, msam:0.133
lf:1.30, min:0.071, max:0.217, mpsnr:6.214, mssim:0.412, msam:0.132
lf:1.30, min:None, max:0.217, mpsnr:-3.018, mssim:0.307, msam:0.133
lf:1.70, min:0.071, max:0.217, mpsnr:5.917, mssim:0.390, msam:0.132
lf:1.70, min:None, max:0.217, mpsnr:-2.269, mssim:0.320, msam:0.133
lf:2.10, min:0.071, max:0.217, mpsnr:5.803, mssim:0.380, msam:0.132
lf:2.10, min:None, max:0.217, mpsnr:-1.576, mssim:0.331, msam:0.133
lf:2.50, min:0.071, max:0.217, mpsnr:6.516, mssim:0.431, msam:0.132
lf:2.50, min:None, max:0.217, mpsnr:-0.966, mssim:0.343, msam:0.133
lf:2.90, min:0.071, max:0.217, mpsnr:8.483, mssim:0.446, msam:0.132
lf:2.90, min:None, max:0.217, mpsnr:-0.463, mssim:0.354, msam:0.133
