lf:0.01, min:0.071, max:0.217, mpsnr:11.747, mssim:0.477, msam:0.124
lf:0.01, min:None, max:0.217, mpsnr:-5.578, mssim:0.264, msam:0.133
lf:0.04, min:0.071, max:0.217, mpsnr:10.630, mssim:0.472, msam:0.124
lf:0.04, min:None, max:0.217, mpsnr:-5.518, mssim:0.265, msam:0.133
lf:0.07, min:0.071, max:0.217, mpsnr:9.611, mssim:0.467, msam:0.124
lf:0.07, min:None, max:0.217, mpsnr:-5.458, mssim:0.266, msam:0.133
lf:0.10, min:0.071, max:0.217, mpsnr:8.705, mssim:0.460, msam:0.124
lf:0.10, min:None, max:0.217, mpsnr:-5.398, mssim:0.267, msam:0.133
lf:0.50, min:0.071, max:0.217, mpsnr:4.427, mssim:0.352, msam:0.124
lf:0.50, min:None, max:0.217, mpsnr:-4.598, mssim:0.281, msam:0.133
lf:0.90, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.124
lf:0.90, min:None, max:0.217, mpsnr:-3.801, mssim:0.295, msam:0.133
lf:1.30, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.124
lf:1.30, min:None, max:0.217, mpsnr:-3.018, mssim:0.307, msam:0.133
lf:1.70, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.124
lf:1.70, min:None, max:0.217, mpsnr:-2.269, mssim:0.320, msam:0.133
lf:2.10, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.124
lf:2.10, min:None, max:0.217, mpsnr:-1.576, mssim:0.331, msam:0.133
lf:2.50, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.124
lf:2.50, min:None, max:0.217, mpsnr:-0.966, mssim:0.343, msam:0.133
lf:2.90, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.124
lf:2.90, min:None, max:0.217, mpsnr:-0.463, mssim:0.354, msam:0.133
