lf:0.01, min:0.071, max:0.217, mpsnr:6.056, mssim:0.391, msam:0.126
lf:0.01, min:None, max:0.217, mpsnr:-4.806, mssim:0.177, msam:0.187
lf:0.04, min:0.071, max:0.217, mpsnr:6.056, mssim:0.391, msam:0.126
lf:0.04, min:None, max:0.217, mpsnr:-4.753, mssim:0.179, msam:0.187
lf:0.07, min:0.071, max:0.217, mpsnr:6.056, mssim:0.391, msam:0.126
lf:0.07, min:None, max:0.217, mpsnr:-4.700, mssim:0.181, msam:0.187
lf:0.10, min:0.071, max:0.217, mpsnr:6.056, mssim:0.391, msam:0.126
lf:0.10, min:None, max:0.217, mpsnr:-4.647, mssim:0.183, msam:0.187
lf:0.50, min:0.071, max:0.217, mpsnr:7.859, mssim:0.524, msam:0.126
lf:0.50, min:None, max:0.217, mpsnr:-3.935, mssim:0.211, msam:0.187
lf:0.90, min:0.071, max:0.217, mpsnr:8.606, mssim:0.547, msam:0.126
lf:0.90, min:None, max:0.217, mpsnr:-3.215, mssim:0.237, msam:0.187
lf:1.30, min:0.071, max:0.217, mpsnr:6.218, mssim:0.407, msam:0.126
lf:1.30, min:None, max:0.217, mpsnr:-2.491, mssim:0.261, msam:0.187
lf:1.70, min:0.071, max:0.217, mpsnr:6.046, mssim:0.400, msam:0.126
lf:1.70, min:None, max:0.217, mpsnr:-1.769, mssim:0.285, msam:0.187
lf:2.10, min:0.071, max:0.217, mpsnr:6.152, mssim:0.416, msam:0.126
lf:2.10, min:None, max:0.217, mpsnr:-1.060, mssim:0.307, msam:0.187
lf:2.50, min:0.071, max:0.217, mpsnr:7.748, mssim:0.488, msam:0.126
lf:2.50, min:None, max:0.217, mpsnr:-0.377, mssim:0.328, msam:0.187
lf:2.90, min:0.071, max:0.217, mpsnr:10.673, mssim:0.492, msam:0.126
lf:2.90, min:None, max:0.217, mpsnr:0.259, mssim:0.348, msam:0.187
lf:3.00, min:0.071, max:0.217, mpsnr:11.364, mssim:0.493, msam:0.126
lf:3.00, min:None, max:0.217, mpsnr:0.408, mssim:0.353, msam:0.187
lf:4.00, min:0.071, max:0.217, mpsnr:7.553, mssim:0.474, msam:0.126
lf:4.00, min:None, max:0.217, mpsnr:1.594, mssim:0.394, msam:0.187
lf:5.00, min:0.071, max:0.217, mpsnr:5.142, mssim:0.415, msam:0.126
lf:5.00, min:None, max:0.217, mpsnr:2.163, mssim:0.422, msam:0.187
lf:6.00, min:0.071, max:0.217, mpsnr:4.507, mssim:0.353, msam:0.126
lf:6.00, min:None, max:0.217, mpsnr:2.339, mssim:0.434, msam:0.187
lf:7.00, min:0.071, max:0.217, mpsnr:4.462, mssim:0.352, msam:0.126
lf:7.00, min:None, max:0.217, mpsnr:2.415, mssim:0.432, msam:0.187
lf:8.00, min:0.071, max:0.217, mpsnr:4.438, mssim:0.352, msam:0.126
lf:8.00, min:None, max:0.217, mpsnr:2.529, mssim:0.420, msam:0.187
lf:9.00, min:0.071, max:0.217, mpsnr:4.423, mssim:0.353, msam:0.126
lf:9.00, min:None, max:0.217, mpsnr:2.723, mssim:0.404, msam:0.187
lf:10.00, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.126
lf:10.00, min:None, max:0.217, mpsnr:3.003, mssim:0.387, msam:0.187
lf:15.00, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.126
lf:15.00, min:None, max:0.217, mpsnr:5.622, mssim:0.345, msam:0.187
