lf:0.01, min:0.071, max:0.217, mpsnr:12.505, mssim:0.466, msam:0.126
lf:0.01, min:None, max:0.217, mpsnr:-4.806, mssim:0.177, msam:0.187
lf:0.04, min:0.071, max:0.217, mpsnr:11.455, mssim:0.465, msam:0.126
lf:0.04, min:None, max:0.217, mpsnr:-4.753, mssim:0.179, msam:0.187
lf:0.07, min:0.071, max:0.217, mpsnr:10.405, mssim:0.462, msam:0.126
lf:0.07, min:None, max:0.217, mpsnr:-4.700, mssim:0.181, msam:0.187
lf:0.10, min:0.071, max:0.217, mpsnr:9.428, mssim:0.459, msam:0.126
lf:0.10, min:None, max:0.217, mpsnr:-4.647, mssim:0.183, msam:0.187
lf:0.50, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.126
lf:0.50, min:None, max:0.217, mpsnr:-3.935, mssim:0.211, msam:0.187
lf:0.90, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.126
lf:0.90, min:None, max:0.217, mpsnr:-3.215, mssim:0.237, msam:0.187
lf:1.30, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.126
lf:1.30, min:None, max:0.217, mpsnr:-2.491, mssim:0.261, msam:0.187
lf:1.70, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.126
lf:1.70, min:None, max:0.217, mpsnr:-1.769, mssim:0.285, msam:0.187
lf:2.10, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.126
lf:2.10, min:None, max:0.217, mpsnr:-1.060, mssim:0.307, msam:0.187
lf:2.50, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.126
lf:2.50, min:None, max:0.217, mpsnr:-0.377, mssim:0.328, msam:0.187
lf:2.90, min:0.071, max:0.217, mpsnr:4.417, mssim:0.353, msam:0.126
lf:2.90, min:None, max:0.217, mpsnr:0.259, mssim:0.348, msam:0.187
