lf:0.10, min:0.071, max:1.741, mpsnr:20.137, mssim:0.729, msam:0.133
lf:0.10, min:None, max:1.741, mpsnr:20.145, mssim:0.722, msam:0.129
lf:0.20, min:0.071, max:1.741, mpsnr:22.464, mssim:0.803, msam:0.133
lf:0.20, min:None, max:1.741, mpsnr:22.203, mssim:0.792, msam:0.129
lf:0.30, min:0.071, max:1.741, mpsnr:24.880, mssim:0.861, msam:0.133
lf:0.30, min:None, max:1.741, mpsnr:24.245, mssim:0.850, msam:0.129
lf:0.40, min:0.071, max:1.741, mpsnr:27.254, mssim:0.896, msam:0.133
lf:0.40, min:None, max:1.741, mpsnr:26.385, mssim:0.891, msam:0.129
lf:0.50, min:0.071, max:1.741, mpsnr:27.353, mssim:0.905, msam:0.133
lf:0.50, min:None, max:1.741, mpsnr:28.198, mssim:0.911, msam:0.129
lf:0.60, min:0.071, max:1.741, mpsnr:25.513, mssim:0.886, msam:0.133
lf:0.60, min:None, max:1.741, mpsnr:27.616, mssim:0.907, msam:0.129
lf:0.70, min:0.071, max:1.741, mpsnr:23.961, mssim:0.841, msam:0.133
lf:0.70, min:None, max:1.741, mpsnr:25.868, mssim:0.880, msam:0.129
lf:0.80, min:0.071, max:1.741, mpsnr:22.884, mssim:0.783, msam:0.133
lf:0.80, min:None, max:1.741, mpsnr:24.436, mssim:0.833, msam:0.129
lf:0.90, min:0.071, max:1.741, mpsnr:22.257, mssim:0.736, msam:0.133
lf:0.90, min:None, max:1.741, mpsnr:23.363, mssim:0.772, msam:0.129
lf:1.00, min:0.071, max:1.741, mpsnr:22.136, mssim:0.725, msam:0.133
lf:1.00, min:None, max:1.741, mpsnr:22.545, mssim:0.702, msam:0.129
lf:1.10, min:0.071, max:1.741, mpsnr:22.132, mssim:0.725, msam:0.133
lf:1.10, min:None, max:1.741, mpsnr:21.907, mssim:0.628, msam:0.129
lf:1.20, min:0.071, max:1.741, mpsnr:22.129, mssim:0.725, msam:0.133
lf:1.20, min:None, max:1.741, mpsnr:21.400, mssim:0.555, msam:0.129
lf:1.30, min:0.071, max:1.741, mpsnr:22.128, mssim:0.725, msam:0.133
lf:1.30, min:None, max:1.741, mpsnr:20.992, mssim:0.486, msam:0.129
lf:1.40, min:0.071, max:1.741, mpsnr:22.128, mssim:0.725, msam:0.133
lf:1.40, min:None, max:1.741, mpsnr:20.660, mssim:0.423, msam:0.129
lf:1.50, min:0.071, max:1.741, mpsnr:22.128, mssim:0.725, msam:0.133
lf:1.50, min:None, max:1.741, mpsnr:20.388, mssim:0.366, msam:0.129
lf:1.60, min:0.071, max:1.741, mpsnr:22.128, mssim:0.725, msam:0.133
lf:1.60, min:None, max:1.741, mpsnr:20.164, mssim:0.315, msam:0.129
lf:1.70, min:0.071, max:1.741, mpsnr:22.128, mssim:0.725, msam:0.133
lf:1.70, min:None, max:1.741, mpsnr:19.978, mssim:0.271, msam:0.129
lf:1.80, min:0.071, max:1.741, mpsnr:22.128, mssim:0.725, msam:0.133
lf:1.80, min:None, max:1.741, mpsnr:19.823, mssim:0.233, msam:0.129
lf:1.90, min:0.071, max:1.741, mpsnr:22.128, mssim:0.725, msam:0.133
lf:1.90, min:None, max:1.741, mpsnr:19.693, mssim:0.201, msam:0.129
lf:2.00, min:0.071, max:1.741, mpsnr:22.128, mssim:0.725, msam:0.133
lf:2.00, min:None, max:1.741, mpsnr:19.585, mssim:0.173, msam:0.129
