lf:0.10, min:0.071, max:1.741, mpsnr:14.673, mssim:0.627, msam:0.091
lf:0.10, min:None, max:1.741, mpsnr:10.369, mssim:0.477, msam:0.123
lf:0.20, min:0.071, max:1.741, mpsnr:15.327, mssim:0.650, msam:0.091
lf:0.20, min:None, max:1.741, mpsnr:10.457, mssim:0.480, msam:0.123
lf:0.30, min:0.071, max:1.741, mpsnr:16.010, mssim:0.673, msam:0.091
lf:0.30, min:None, max:1.741, mpsnr:10.546, mssim:0.483, msam:0.123
lf:0.40, min:0.071, max:1.741, mpsnr:16.726, mssim:0.696, msam:0.091
lf:0.40, min:None, max:1.741, mpsnr:10.635, mssim:0.486, msam:0.123
lf:0.50, min:0.071, max:1.741, mpsnr:17.476, mssim:0.718, msam:0.091
lf:0.50, min:None, max:1.741, mpsnr:10.724, mssim:0.489, msam:0.123
lf:0.60, min:0.071, max:1.741, mpsnr:18.259, mssim:0.738, msam:0.091
lf:0.60, min:None, max:1.741, mpsnr:10.813, mssim:0.492, msam:0.123
lf:0.70, min:0.071, max:1.741, mpsnr:19.065, mssim:0.757, msam:0.091
lf:0.70, min:None, max:1.741, mpsnr:10.903, mssim:0.495, msam:0.123
lf:0.80, min:0.071, max:1.741, mpsnr:19.867, mssim:0.774, msam:0.091
lf:0.80, min:None, max:1.741, mpsnr:10.993, mssim:0.498, msam:0.123
lf:0.90, min:0.071, max:1.741, mpsnr:20.604, mssim:0.787, msam:0.091
lf:0.90, min:None, max:1.741, mpsnr:11.083, mssim:0.501, msam:0.123
lf:1.00, min:0.071, max:1.741, mpsnr:21.178, mssim:0.797, msam:0.091
lf:1.00, min:None, max:1.741, mpsnr:11.174, mssim:0.504, msam:0.123
lf:1.10, min:0.071, max:1.741, mpsnr:21.484, mssim:0.804, msam:0.091
lf:1.10, min:None, max:1.741, mpsnr:11.265, mssim:0.507, msam:0.123
